id,name,Internal Reference,active,sale_ok,purchase_ok,list_price,standard_price,type,barcode,Brand,Model,Color,Size,categ_id,Image 1,Image 2
E-ADD-F13-506060-5218,Adidas F13 506060,E-ADD-F13-506060-5218,1,1,1,40,60,Stockable,E-ADD-F13-506060-5218,Adidas,F13,506060,52-18,E,e-add-f13-506060_00.jpg,e-add-f13-506060_01.jpg
E-ADD-F20-6050-5415,Adidas F20 6050,E-ADD-F20-6050-5415,1,1,1,40,60,Stockable,E-ADD-F20-6050-5415,Adidas,F20,6050,54-15,E,e-add-f20-6050_00.jpg,e-add-f20-6050_01.jpg
E-ADD-F20-6050-5616,Adidas F20 6050,E-ADD-F20-6050-5616,1,1,1,40,60,Stockable,E-ADD-F20-6050-5616,Adidas,F20,6050,56-16,E,e-add-f20-6050_00.jpg,e-add-f20-6050_01.jpg
E-ADD-F20-6051-5415,Adidas F20 6051,E-ADD-F20-6051-5415,1,1,1,40,60,Stockable,E-ADD-F20-6051-5415,Adidas,F20,6051,54-15,E,e-add-f20-6051_00.jpg,e-add-f20-6051_01.jpg
E-ADD-F20-6051-5616,Adidas F20 6051,E-ADD-F20-6051-5616,1,1,1,40,60,Stockable,E-ADD-F20-6051-5616,Adidas,F20,6051,56-16,E,e-add-f20-6051_00.jpg,e-add-f20-6051_01.jpg
E-ADD-F20-6052-5415,Adidas F20 6052,E-ADD-F20-6052-5415,1,1,1,40,60,Stockable,E-ADD-F20-6052-5415,Adidas,F20,6052,54-15,E,e-add-f20-6052_00.jpg,e-add-f20-6052_01.jpg
E-ADD-F20-6052-5616,Adidas F20 6052,E-ADD-F20-6052-5616,1,1,1,40,60,Stockable,E-ADD-F20-6052-5616,Adidas,F20,6052,56-16,E,e-add-f20-6052_00.jpg,e-add-f20-6052_01.jpg
E-ADD-F20-6055-5415,Adidas F20 6055,E-ADD-F20-6055-5415,1,1,1,40,60,Stockable,E-ADD-F20-6055-5415,Adidas,F20,6055,54-15,E,e-add-f20-6055_00.jpg,e-add-f20-6055_01.jpg
E-ADD-F20-6055-5616,Adidas F20 6055,E-ADD-F20-6055-5616,1,1,1,40,60,Stockable,E-ADD-F20-6055-5616,Adidas,F20,6055,56-16,E,e-add-f20-6055_00.jpg,e-add-f20-6055_01.jpg
E-ADD-F20-6056-5415,Adidas F20 6056,E-ADD-F20-6056-5415,1,1,1,40,60,Stockable,E-ADD-F20-6056-5415,Adidas,F20,6056,54-15,E,e-add-f20-6056_00.jpg,e-add-f20-6056_01.jpg
E-ADD-F20-6056-5616,Adidas F20 6056,E-ADD-F20-6056-5616,1,1,1,40,60,Stockable,E-ADD-F20-6056-5616,Adidas,F20,6056,56-16,E,e-add-f20-6056_00.jpg,e-add-f20-6056_01.jpg
E-ADD-F20-6057-5415,Adidas F20 6057,E-ADD-F20-6057-5415,1,1,1,40,60,Stockable,E-ADD-F20-6057-5415,Adidas,F20,6057,54-15,E,e-add-f20-6057_00.jpg,e-add-f20-6057_01.jpg
E-ADD-F20-6057-5616,Adidas F20 6057,E-ADD-F20-6057-5616,1,1,1,40,60,Stockable,E-ADD-F20-6057-5616,Adidas,F20,6057,56-16,E,e-add-f20-6057_00.jpg,e-add-f20-6057_01.jpg
E-ADD-F20-6058-5415,Adidas F20 6058,E-ADD-F20-6058-5415,1,1,1,40,60,Stockable,E-ADD-F20-6058-5415,Adidas,F20,6058,54-15,E,e-add-f20-6058_00.jpg,e-add-f20-6058_01.jpg
E-ADD-F20-6058-5616,Adidas F20 6058,E-ADD-F20-6058-5616,1,1,1,40,60,Stockable,E-ADD-F20-6058-5616,Adidas,F20,6058,56-16,E,e-add-f20-6058_00.jpg,e-add-f20-6058_01.jpg
E-ADD-F21-406053-5717,Adidas F21 406053,E-ADD-F21-406053-5717,1,1,1,40,60,Stockable,E-ADD-F21-406053-5717,Adidas,F21,406053,57-17,E,e-add-f21-406053_00.jpg,e-add-f21-406053_01.jpg
E-ADD-F21-6050-5516,Adidas F21 6050,E-ADD-F21-6050-5516,1,1,1,40,60,Stockable,E-ADD-F21-6050-5516,Adidas,F21,6050,55-16,E,e-add-f21-6050_00.jpg,e-add-f21-6050_01.jpg
E-ADD-F21-6050-5717,Adidas F21 6050,E-ADD-F21-6050-5717,1,1,1,40,60,Stockable,E-ADD-F21-6050-5717,Adidas,F21,6050,57-17,E,e-add-f21-6050_00.jpg,e-add-f21-6050_01.jpg
